date,value
1520858792,3
1520880226,3
1520881594,3
1520948995,3
1520966638,3
1521029644,3
1521054024,3
1521065048,3
1521116050,3
1521136838,1
1521201732,3
1521223297,3
1521288179,4
1521309623,4
1521375629,4
1521396162,3
1521460824,2
1521483116,4
1521547630,3
1521637751,4
1521637762,4
1521637773,4
1521641604,4
1521641639,4
1521655997,3
1521724298,3
1521741767,4
1521806659,3
1521829083,3
1521829125,3
1521893192,3
1522067628,2
1522087668,3
1522087675,3
1522087725,3
1522336474,4
1522346812,4
1522411809,4
1522519258,3
1522778558,3
1525122014,2
1526050597,3
1526412513,5
1528405693,4
1529336791,3
1529344830,3
1529433314,3
1529496055,3
1529523422,3
1529604459,3
1529668979,4
1529690559,3
1529779657,3
1531166580,3
1532214244,3
1532264909,4